,KW,CHWTON,HTmmBTU,Combined mmBTU,GHG,KWS
temperature,0.696176178887841,0.7685580726579473,-0.6492463643036234,0.7335366469216129,0.6875398453317643,-0.06003908673098747
dew_point_temperature,0.6213162636857638,0.6622061099810753,-0.4209318825620439,0.5422765415930421,0.5360447127167309,0.04994513547060746
station_level_pressure,-0.3934577305484337,-0.4291162832371257,0.4077674396935556,-0.4431096493311617,-0.3907929987425266,0.041245197034132604
sea_level_pressure,-0.45223800917168483,-0.4930081510005347,0.45748849928428537,-0.5019827928490915,-0.43899484848311887,0.028114803004322553
wet_bulb_temperature,0.7924454456135861,0.8591617605521092,-0.6572490694817027,0.7753459335702788,0.7470128429843942,-0.023405012456834812
altimeter,-0.39290709958409303,-0.4283852385684838,0.40740859531141993,-0.4424740610416657,-0.39071025974183105,0.04176513259773244
sky_cover_baseht_1,-0.23269757160499027,-0.23437970374993827,0.1186612764330338,-0.2120082358909809,-0.19607766417066616,-0.012983847713955951
KW,1.0,0.8196887989336195,-0.5582772881622947,0.8275481634855055,0.7541723025403922,0.22143547373139003
KWS,0.22143547373139003,0.30795021263033795,-0.14973577157327436,0.2693107787933813,-0.3791101801992003,1.0
CHWTON,0.8196887989336195,1.0,-0.6298630701647704,0.9031868281574409,0.5903890639495849,0.30795021263033795
HTmmBTU,-0.5582772881622947,-0.6298630701647704,1.0,-0.5942197158930178,-0.4518871454300708,-0.14973577157327436
Combined mmBTU,0.8275481634855055,0.9031868281574409,-0.5942197158930178,1.0,0.63258910343868,0.2693107787933813
GHG,0.7541723025403922,0.5903890639495849,-0.4518871454300708,0.63258910343868,1.0,-0.3791101801992003
DayOfYear_sin,-0.40550580321196417,-0.35790546360517306,0.3192501603707257,-0.29430782079101464,-0.43121125652700654,0.041246362774563596
DayOfYear_cos,-0.6941329497233075,-0.7830362953585946,0.6124934161684563,-0.7876030433922551,-0.5660243409570822,-0.12684498415908407
HourOfDay_sin,-0.08302149283520886,-0.2107523555498422,0.10042491068152494,-0.1600696322436609,0.1444764681046846,-0.38182017663181744
HourOfDay_cos,-0.05443620305359228,-0.04201062177845756,-0.01582095943265432,-0.0420520522966749,0.18997576045884773,-0.4316905622686008
